No,자료시점,분류,분류,분류,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상
1,2014년,계,계[입력치],계[입력치],"52,718",279,999,"6,767",715,"6,445",111,87,"1,864",7
2,2014년,형법범,형법범계[입력치],형법범계[입력치],"42,918",208,894,"5,803",610,"5,372",89,56,"1,623",5
3,2014년,형법범,재산범죄,재산범죄의 계[입력치],"25,061",129,645,"3,769",375,"3,120",62,37,"1,110",1
4,2014년,형법범,재산범죄,배임,0,0,0,0,0,0,0,0,0,0
5,2014년,형법범,재산범죄,사기,"4,471",37,121,656,66,550,10,12,165,0
6,2014년,형법범,재산범죄,손괴,485,5,3,53,7,76,0,1,18,0
7,2014년,형법범,재산범죄,장물,631,1,4,66,5,64,6,0,25,0
8,2014년,형법범,재산범죄,절도,"18,424",83,506,"2,898",282,"2,296",45,19,874,1
9,2014년,형법범,재산범죄,횡령,"1,050",3,11,96,15,134,1,5,28,0
10,2014년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"2,259",6,42,244,27,243,1,5,66,1
11,2014년,형법범,강력범죄(흉악),강도,280,1,9,36,9,40,0,0,17,0
12,2014년,형법범,강력범죄(흉악),방화,125,0,2,12,2,11,0,1,1,0
13,2014년,형법범,강력범죄(흉악),살인,15,2,0,3,0,3,0,0,2,0
14,2014년,형법범,강력범죄(흉악),성폭력,"1,839",3,31,193,16,189,1,4,46,1
15,2014년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"12,718",55,179,"1,530",173,"1,666",23,13,368,1
16,2014년,형법범,강력범죄(폭력),공갈,"1,365",4,28,205,21,214,1,5,59,1
17,2014년,형법범,강력범죄(폭력),상해,"5,194",31,73,576,72,648,10,4,146,0
18,2014년,형법범,강력범죄(폭력),약취와 유인,9,0,0,0,0,0,0,0,0,0
19,2014년,형법범,강력범죄(폭력),체포와 감금,65,0,0,11,3,11,0,0,2,0
20,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",80,0,0,8,0,12,0,0,3,0
21,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",432,0,5,68,5,44,0,0,12,0
22,2014년,형법범,강력범죄(폭력),폭행,"5,376",19,71,641,69,709,11,4,142,0
23,2014년,형법범,강력범죄(폭력),협박,197,1,2,21,3,28,1,0,4,0
24,2014년,형법범,위조범죄,위조범죄의 계[입력치],"1,384",13,17,121,17,179,2,1,29,0
25,2014년,형법범,위조범죄,문서,"1,364",13,17,121,17,179,2,1,29,0
26,2014년,형법범,위조범죄,유가증권인지우표,2,0,0,0,0,0,0,0,0,0
27,2014년,형법범,위조범죄,인장,4,0,0,0,0,0,0,0,0,0
28,2014년,형법범,위조범죄,통화,14,0,0,0,0,0,0,0,0,0
29,2014년,형법범,공무원범죄,공무원범죄의 계[입력치],0,0,0,0,0,0,0,0,0,0
30,2014년,형법범,공무원범죄,수뢰,0,0,0,0,0,0,0,0,0,0
31,2014년,형법범,공무원범죄,증뢰,0,0,0,0,0,0,0,0,0,0
32,2014년,형법범,공무원범죄,직권남용,0,0,0,0,0,0,0,0,0,0
33,2014년,형법범,공무원범죄,직무유기,0,0,0,0,0,0,0,0,0,0
34,2014년,형법범,풍속범죄,풍속범죄의 계[입력치],64,0,0,3,0,3,0,0,0,0
35,2014년,형법범,풍속범죄,기타음란행위,36,0,0,3,0,2,0,0,0,0
36,2014년,형법범,풍속범죄,도박과 복표,28,0,0,0,0,1,0,0,0,0
37,2014년,형법범,풍속범죄,신앙,0,0,0,0,0,0,0,0,0,0
38,2014년,형법범,과실범죄,과실범죄의 계[입력치],99,0,0,7,2,6,0,0,1,0
39,2014년,형법범,과실범죄,과실치사상,39,0,0,2,1,0,0,0,1,0
40,2014년,형법범,과실범죄,실화,55,0,0,5,1,3,0,0,0,0
41,2014년,형법범,과실범죄,업무상과실치사상,5,0,0,0,0,3,0,0,0,0
42,2014년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"1,333",5,11,129,16,155,1,0,49,2
43,2014년,형법범,기타형법범죄,공무방해,234,0,4,37,5,32,0,0,13,0
44,2014년,형법범,기타형법범죄,공안을해하는죄,0,0,0,0,0,0,0,0,0,0
45,2014년,형법범,기타형법범죄,교통방해,5,0,0,1,0,2,0,0,0,0
46,2014년,형법범,기타형법범죄,권리행사방해,24,0,0,7,0,6,0,0,1,0
47,2014년,형법범,기타형법범죄,내란의죄,0,0,0,0,0,0,0,0,0,0
48,2014년,형법범,기타형법범죄,도주와범인은닉,16,0,0,0,0,2,0,0,0,0
49,2014년,형법범,기타형법범죄,명예,753,2,3,40,3,75,0,0,11,0
50,2014년,형법범,기타형법범죄,무고,9,0,0,2,2,4,0,0,1,1
51,2014년,형법범,기타형법범죄,비밀침해,0,0,0,0,0,0,0,0,0,0
52,2014년,형법범,기타형법범죄,신용업무경매,80,1,0,13,3,10,0,0,4,0
53,2014년,형법범,기타형법범죄,위증과증거인멸,6,0,0,0,0,1,0,0,0,1
54,2014년,형법범,기타형법범죄,유기,3,0,0,0,0,1,0,0,0,0
55,2014년,형법범,기타형법범죄,음용수에관한죄,0,0,0,0,0,0,0,0,0,0
56,2014년,형법범,기타형법범죄,일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0
57,2014년,형법범,기타형법범죄,주거침입,200,2,3,29,3,21,1,0,19,0
58,2014년,형법범,기타형법범죄,기타,3,0,1,0,0,1,0,0,0,0
59,2014년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"9,800",71,105,964,105,"1,073",22,31,241,2
60,2014년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0
61,2014년,특별법범,개인정보보호법,개인정보보호법,2,0,0,1,1,1,0,0,0,0
62,2014년,특별법범,건축법,건축법,0,0,0,0,0,0,0,0,0,0
63,2014년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,96,2,1,10,0,7,0,0,0,0
64,2014년,특별법범,경범죄처벌법,경범죄처벌법,36,1,0,11,1,8,0,0,2,0
65,2014년,특별법범,공유재산및물품관리법,공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0
66,2014년,특별법범,공인중개사법,공인중개사법,0,0,0,0,0,0,0,0,0,0
67,2014년,특별법범,공중위생관리법,공중위생관리법,3,0,0,0,0,0,0,0,0,0
68,2014년,특별법범,공직선거법,공직선거법,4,0,1,0,0,0,0,0,0,0
69,2014년,특별법범,교통사고처리특례법,교통사고처리특례법,"2,058",16,20,183,16,195,7,11,39,0
70,2014년,특별법범,국민체육진흥법,국민체육진흥법,16,0,0,1,0,0,0,0,0,0
71,2014년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,0
72,2014년,특별법범,근로기준법,근로기준법,0,0,0,0,0,0,0,0,0,0
73,2014년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0
74,2014년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0
75,2014년,특별법범,농지법,농지법,0,0,0,0,0,0,0,0,0,0
76,2014년,특별법범,대기환경보전법,대기환경보전법,0,0,0,0,0,0,0,0,0,0
77,2014년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,0,0,0,0,0,0,0,0,0,0
78,2014년,특별법범,도로교통법,도로교통법,"4,045",38,36,384,46,408,5,13,107,0
79,2014년,특별법범,도로법,도로법,1,0,0,0,0,0,0,0,0,0
80,2014년,특별법범,마약류관리에관한법률,마약류관리에관한법률,38,0,0,2,2,2,0,0,0,0
81,2014년,특별법범,병역법,병역법,0,0,0,0,0,0,0,0,0,0
82,2014년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0,0,0,0,0,0
83,2014년,특별법범,부정수표단속법,부정수표단속법,5,0,0,0,1,0,0,0,0,0
84,2014년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,7,0,0,1,0,1,0,0,0,0
85,2014년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0
86,2014년,특별법범,산업안전보건법,산업안전보건법,0,0,0,0,0,0,0,0,0,0
87,2014년,특별법범,산지관리법,산지관리법,0,0,0,0,0,0,0,0,0,0
88,2014년,특별법범,상표법,상표법,3,0,0,0,0,0,0,0,0,0
89,2014년,특별법범,선박안전법,선박안전법,0,0,0,0,0,0,0,0,0,0
90,2014년,특별법범,선박직원법,선박직원법,0,0,0,0,0,0,0,0,0,0
91,2014년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,,,,,,,,,,
92,2014년,특별법범,수산업법,수산업법,0,0,0,0,0,0,0,0,0,0
93,2014년,특별법범,수산자원관리법,수산자원관리법,0,0,0,0,0,0,0,0,0,0
94,2014년,특별법범,물환경보전법,물환경보전법,0,0,0,0,0,0,0,0,0,0
95,2014년,특별법범,식품위생법,식품위생법,8,0,0,1,0,1,0,0,0,0
96,2014년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),115,0,6,26,3,12,0,0,2,1
97,2014년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),65,0,1,5,0,7,0,0,0,0
98,2014년,특별법범,아동복지법,아동복지법,2,0,1,1,0,0,0,0,1,0
99,2014년,특별법범,여객자동차운수사업법,여객자동차운수사업법,1,0,0,0,0,0,0,0,0,0
100,2014년,특별법범,여신전문금융업법,여신전문금융업법,120,1,1,25,5,18,1,0,7,0
101,2014년,특별법범,외국환거래법,외국환거래법,0,0,0,0,0,0,0,0,0,0
102,2014년,특별법범,의료법,의료법,5,0,0,0,0,0,0,0,0,0
103,2014년,특별법범,자동차관리법,자동차관리법,112,0,0,13,0,13,0,0,4,0
104,2014년,특별법범,자동차손해배상보장법,자동차손해배상보장법,241,1,3,36,2,31,0,0,14,1
105,2014년,특별법범,저작권법,저작권법,78,2,1,7,0,8,0,1,0,0
106,2014년,특별법범,전자금융거래법,전자금융거래법,265,2,5,30,3,18,1,0,9,0
107,2014년,특별법범,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,384,3,2,29,0,52,2,2,8,0
108,2014년,특별법범,조세범처벌법,조세범처벌법,0,0,0,0,0,0,0,0,0,0
109,2014년,특별법범,주민등록법,주민등록법,742,2,11,75,4,132,1,2,20,0
110,2014년,특별법범,청소년보호법,청소년보호법,778,2,6,53,6,80,5,1,16,0
111,2014년,특별법범,축산물위생관리법,축산물위생관리법,0,0,0,0,0,0,0,0,0,0
112,2014년,특별법범,출입국관리법,출입국관리법,1,0,0,0,0,0,0,0,0,0
113,2014년,특별법범,통신비밀보호법,통신비밀보호법,0,0,0,0,0,0,0,0,0,0
114,2014년,특별법범,특가법(도주차량),특가법(도주차량),151,1,2,23,7,23,0,0,2,0
115,2014년,특별법범,폐기물관리법,폐기물관리법,0,0,0,0,0,0,0,0,0,0
116,2014년,특별법범,풍속영업의규제에관한법률,풍속영업의규제에관한법률,0,0,0,0,0,0,0,0,0,0
117,2014년,특별법범,학원의설립운영및과외교습에관한법률,학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0
118,2014년,특별법범,예비군법,예비군법,0,0,0,0,0,0,0,0,0,0
119,2014년,특별법범,화물자동차운수사업법,화물자동차운수사업법,0,0,0,0,0,0,0,0,0,0
120,2014년,특별법범,기타특별법,기타특별법,332,0,7,41,7,45,0,1,6,0
121,2015년,계,계[입력치],계[입력치],"47,733",251,864,"5,480",661,"5,516",85,65,"1,619",8
122,2015년,형법범,형법범계[입력치],형법범계[입력치],"38,213",194,777,"4,647",576,"4,548",68,38,"1,366",7
123,2015년,형법범,재산범죄,재산범죄의 계[입력치],"22,124",108,529,"3,046",369,"2,644",42,20,951,2
124,2015년,형법범,재산범죄,배임,2,0,0,0,0,0,0,0,0,0
125,2015년,형법범,재산범죄,사기,"4,742",21,97,633,69,592,9,4,217,0
126,2015년,형법범,재산범죄,손괴,533,4,11,72,13,62,0,0,15,1
127,2015년,형법범,재산범죄,장물,623,1,3,53,5,61,3,0,23,0
128,2015년,형법범,재산범죄,절도,"15,119",67,409,"2,176",269,"1,825",30,13,667,1
129,2015년,형법범,재산범죄,횡령,"1,105",15,9,112,13,104,0,3,29,0
130,2015년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"1,930",7,43,204,29,198,3,5,48,1
131,2015년,형법범,강력범죄(흉악),강도,302,0,10,43,5,37,1,0,10,0
132,2015년,형법범,강력범죄(흉악),방화,45,0,1,8,0,2,0,0,1,0
133,2015년,형법범,강력범죄(흉악),살인,13,0,0,1,0,2,0,0,0,0
134,2015년,형법범,강력범죄(흉악),성폭력,"1,570",7,32,152,24,157,2,5,37,1
135,2015년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"11,030",64,167,"1,150",148,"1,384",17,10,313,2
136,2015년,형법범,강력범죄(폭력),공갈,875,8,21,107,14,124,5,1,38,0
137,2015년,형법범,강력범죄(폭력),상해,"4,327",23,61,450,61,535,6,3,104,0
138,2015년,형법범,강력범죄(폭력),약취와 유인,10,0,1,2,0,0,0,0,1,0
139,2015년,형법범,강력범죄(폭력),체포와 감금,77,0,2,5,2,10,0,0,5,0
140,2015년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",73,0,2,4,2,7,0,0,2,0
141,2015년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",283,0,4,34,7,33,0,1,11,0
142,2015년,형법범,강력범죄(폭력),폭행,"5,151",32,73,534,60,644,6,5,145,2
143,2015년,형법범,강력범죄(폭력),협박,234,1,3,14,2,31,0,0,7,0
144,2015년,형법범,위조범죄,위조범죄의 계[입력치],"1,452",9,17,116,14,148,2,3,27,1
145,2015년,형법범,위조범죄,문서,"1,416",8,16,111,13,144,2,3,27,1
146,2015년,형법범,위조범죄,유가증권인지우표,12,0,0,1,1,0,0,0,0,0
147,2015년,형법범,위조범죄,인장,7,0,0,3,0,1,0,0,0,0
148,2015년,형법범,위조범죄,통화,17,1,1,1,0,3,0,0,0,0
149,2015년,형법범,공무원범죄,공무원범죄의 계[입력치],0,0,0,0,0,0,0,0,0,0
150,2015년,형법범,공무원범죄,수뢰,0,0,0,0,0,0,0,0,0,0
151,2015년,형법범,공무원범죄,증뢰,0,0,0,0,0,0,0,0,0,0
152,2015년,형법범,공무원범죄,직권남용,0,0,0,0,0,0,0,0,0,0
153,2015년,형법범,공무원범죄,직무유기,0,0,0,0,0,0,0,0,0,0
154,2015년,형법범,풍속범죄,풍속범죄의 계[입력치],85,0,0,7,1,5,0,0,1,0
155,2015년,형법범,풍속범죄,기타음란행위,34,0,0,5,0,3,0,0,1,0
156,2015년,형법범,풍속범죄,도박과 복표,51,0,0,2,1,2,0,0,0,0
157,2015년,형법범,풍속범죄,신앙,0,0,0,0,0,0,0,0,0,0
158,2015년,형법범,과실범죄,과실범죄의 계[입력치],75,0,0,5,0,8,0,0,0,0
159,2015년,형법범,과실범죄,과실치사상,35,0,0,1,0,2,0,0,0,0
160,2015년,형법범,과실범죄,실화,37,0,0,4,0,6,0,0,0,0
161,2015년,형법범,과실범죄,업무상과실치사상,3,0,0,0,0,0,0,0,0,0
162,2015년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"1,517",6,21,119,15,161,4,0,26,1
163,2015년,형법범,기타형법범죄,공무방해,248,1,9,36,5,35,1,0,3,0
164,2015년,형법범,기타형법범죄,공안을해하는죄,0,0,0,0,0,0,0,0,0,0
165,2015년,형법범,기타형법범죄,교통방해,6,0,0,0,0,0,0,0,0,0
166,2015년,형법범,기타형법범죄,권리행사방해,34,2,0,2,1,2,0,0,0,0
167,2015년,형법범,기타형법범죄,내란의죄,0,0,0,0,0,0,0,0,0,0
168,2015년,형법범,기타형법범죄,도주와범인은닉,32,0,0,1,0,3,0,0,0,0
169,2015년,형법범,기타형법범죄,명예,886,2,2,50,5,80,3,0,7,0
170,2015년,형법범,기타형법범죄,무고,4,0,0,1,1,1,0,0,0,1
171,2015년,형법범,기타형법범죄,비밀침해,0,0,0,0,0,0,0,0,0,0
172,2015년,형법범,기타형법범죄,신용업무경매,98,0,1,5,0,9,0,0,3,0
173,2015년,형법범,기타형법범죄,위증과증거인멸,1,0,0,0,0,0,0,0,0,0
174,2015년,형법범,기타형법범죄,유기,4,0,0,1,0,0,0,0,0,0
175,2015년,형법범,기타형법범죄,음용수에관한죄,0,0,0,0,0,0,0,0,0,0
176,2015년,형법범,기타형법범죄,일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0
177,2015년,형법범,기타형법범죄,주거침입,204,1,9,22,3,31,0,0,13,0
178,2015년,형법범,기타형법범죄,기타,0,0,0,1,0,0,0,0,0,0
179,2015년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"9,520",57,87,833,85,968,17,27,253,1
180,2015년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0
181,2015년,특별법범,개인정보보호법,개인정보보호법,3,0,0,0,0,0,0,0,0,0
182,2015년,특별법범,건축법,건축법,0,0,0,0,0,0,0,0,0,0
183,2015년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,75,0,2,15,0,9,0,0,4,0
184,2015년,특별법범,경범죄처벌법,경범죄처벌법,42,0,1,6,0,4,0,0,1,0
185,2015년,특별법범,공유재산및물품관리법,공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0
186,2015년,특별법범,공인중개사법,공인중개사법,0,0,0,0,0,0,0,0,0,0
187,2015년,특별법범,공중위생관리법,공중위생관리법,2,0,0,0,0,0,0,0,0,0
188,2015년,특별법범,공직선거법,공직선거법,1,0,0,0,0,0,0,0,0,0
189,2015년,특별법범,교통사고처리특례법,교통사고처리특례법,"1,819",18,12,133,13,148,7,11,38,0
190,2015년,특별법범,국민체육진흥법,국민체육진흥법,20,0,0,1,0,1,0,0,0,0
191,2015년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,0
192,2015년,특별법범,근로기준법,근로기준법,0,0,0,0,0,0,0,0,0,0
193,2015년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0
194,2015년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0
195,2015년,특별법범,농지법,농지법,0,0,0,0,0,0,0,0,0,0
196,2015년,특별법범,대기환경보전법,대기환경보전법,0,0,0,0,0,0,0,0,0,0
197,2015년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,1,0,0,0,0,0,0,0,0,0
198,2015년,특별법범,도로교통법,도로교통법,"3,833",21,46,334,37,375,6,9,102,0
199,2015년,특별법범,도로법,도로법,0,0,0,0,0,0,0,0,1,0
200,2015년,특별법범,마약류관리에관한법률,마약류관리에관한법률,38,1,0,5,0,4,0,0,0,0
201,2015년,특별법범,병역법,병역법,0,0,0,0,0,0,0,0,0,0
202,2015년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0,0,0,0,0,0
203,2015년,특별법범,부정수표단속법,부정수표단속법,7,0,0,0,0,0,0,0,0,0
204,2015년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,2,0,0,0,0,0,0,0,0,0
205,2015년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0
206,2015년,특별법범,산업안전보건법,산업안전보건법,0,0,0,0,0,0,0,0,0,0
207,2015년,특별법범,산지관리법,산지관리법,0,0,0,0,0,0,0,0,0,0
208,2015년,특별법범,상표법,상표법,4,0,0,0,0,0,0,0,0,0
209,2015년,특별법범,선박안전법,선박안전법,0,0,0,0,0,0,0,0,0,0
210,2015년,특별법범,선박직원법,선박직원법,0,0,0,0,0,0,0,0,0,0
211,2015년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,,,,,,,,,,
212,2015년,특별법범,수산업법,수산업법,0,0,0,0,0,0,0,0,0,0
213,2015년,특별법범,수산자원관리법,수산자원관리법,0,0,0,0,0,0,0,0,0,0
214,2015년,특별법범,물환경보전법,물환경보전법,0,0,0,0,0,0,0,0,0,0
215,2015년,특별법범,식품위생법,식품위생법,9,0,0,1,0,1,0,0,0,1
216,2015년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),106,0,1,18,1,14,0,1,8,0
217,2015년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),69,0,0,3,0,7,0,0,1,0
218,2015년,특별법범,아동복지법,아동복지법,13,0,0,3,1,2,0,0,0,0
219,2015년,특별법범,여객자동차운수사업법,여객자동차운수사업법,0,0,0,0,0,0,0,0,0,0
220,2015년,특별법범,여신전문금융업법,여신전문금융업법,105,0,2,12,0,15,0,0,4,0
221,2015년,특별법범,외국환거래법,외국환거래법,0,0,0,0,0,0,0,0,0,0
222,2015년,특별법범,의료법,의료법,5,0,0,0,0,1,0,0,0,0
223,2015년,특별법범,자동차관리법,자동차관리법,137,0,0,10,0,13,0,0,2,0
224,2015년,특별법범,자동차손해배상보장법,자동차손해배상보장법,303,2,2,24,0,32,2,1,13,0
225,2015년,특별법범,저작권법,저작권법,95,0,0,5,1,13,0,0,1,0
226,2015년,특별법범,전자금융거래법,전자금융거래법,636,3,4,55,10,60,0,1,29,0
227,2015년,특별법범,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,343,3,1,23,4,34,1,0,3,0
228,2015년,특별법범,조세범처벌법,조세범처벌법,0,0,0,0,0,0,0,0,0,0
229,2015년,특별법범,주민등록법,주민등록법,650,3,5,68,5,99,1,4,17,0
230,2015년,특별법범,청소년보호법,청소년보호법,577,6,2,50,3,54,0,0,8,0
231,2015년,특별법범,축산물위생관리법,축산물위생관리법,1,0,0,0,0,0,0,0,0,0
232,2015년,특별법범,출입국관리법,출입국관리법,9,0,0,0,0,0,0,0,0,0
233,2015년,특별법범,통신비밀보호법,통신비밀보호법,0,0,0,0,0,0,0,0,0,0
234,2015년,특별법범,특가법(도주차량),특가법(도주차량),139,0,4,11,1,25,0,0,5,0
235,2015년,특별법범,폐기물관리법,폐기물관리법,0,0,0,0,0,0,0,0,0,0
236,2015년,특별법범,풍속영업의규제에관한법률,풍속영업의규제에관한법률,1,0,0,0,0,0,0,0,0,0
237,2015년,특별법범,학원의설립운영및과외교습에관한법률,학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0
238,2015년,특별법범,예비군법,예비군법,0,0,0,0,0,0,0,0,0,0
239,2015년,특별법범,화물자동차운수사업법,화물자동차운수사업법,0,0,0,0,0,0,0,0,0,0
240,2015년,특별법범,기타특별법,기타특별법,346,0,4,43,6,48,0,0,8,0
