범죄별(1),범죄별(2),범죄별(3),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
합계,소계,소계,69211,88104,134992,113022,89776,83068,107490,91633,77594,71035,76000,72759,66142,66247
형법범,소계,소계,50846,60426,79766,81378,70045,66240,87779,74509,63145,56962,61162,58255,54205,54497
형법범,재산범죄,소계,29506,33659,39688,45774,40478,37978,47605,45735,36271,32068,33088,29056,26497,27809
형법범,재산범죄,절도,24842,28839,33073,38494,33534,31380,37256,33092,26047,21170,22534,20008,16904,17141
형법범,재산범죄,장물,222,271,571,820,722,454,1200,1498,830,801,591,443,290,175
형법범,재산범죄,사기,3445,3382,4189,4796,4739,4616,6701,8600,7251,7844,7482,6225,6968,8088
형법범,재산범죄,횡령,700,721,1128,1190,1084,1094,1632,1755,1436,1456,1494,1424,1393,1280
형법범,재산범죄,배임,2,3,6,2,7,1,9,1,3,4,7,1,2,1
형법범,재산범죄,손괴,295,443,721,472,392,433,807,789,704,793,980,955,940,1124
형법범,강력범죄(흉악),소계,1857,1928,3016,3182,3106,3289,2790,2521,3158,2713,3343,3463,3509,3665
형법범,강력범죄(흉악),살인,20,19,12,18,19,12,26,23,33,16,19,18,11,20
형법범,강력범죄(흉악),강도,766,929,1226,1414,819,1082,877,623,405,432,317,244,215,366
형법범,강력범죄(흉악),방화,92,146,189,176,161,174,201,140,156,58,147,118,110,99
형법범,강력범죄(흉악),강간,979,834,1589,1574,2107,2021,1686,1735,-,-,-,-,-,-
형법범,강력범죄(흉악),성폭력,-,-,-,-,-,-,-,-,2564,2207,2860,3083,3173,3180
형법범,강력범죄(폭력),소계,18104,23275,34067,29488,23276,22233,32774,22119,19352,17473,19476,21043,19742,18622
형법범,강력범죄(폭력),폭행,1545,2482,4347,3502,3376,3450,6257,5550,9128,9321,10568,11517,10918,10139
형법범,강력범죄(폭력),상해,2168,2773,3749,3006,2797,2626,3298,2619,7117,5882,6373,6519,5483,4995
형법범,강력범죄(폭력),협박,27,46,84,63,57,65,187,130,320,340,446,626,706,854
형법범,강력범죄(폭력),공갈,405,562,1046,1495,1422,1509,2827,1127,1974,1285,1499,1597,1791,1750
형법범,강력범죄(폭력),약취와유인,4,6,17,29,16,16,17,23,13,17,11,23,13,20
형법범,강력범죄(폭력),체포와감금,17,6,16,7,37,21,42,28,97,116,171,240,280,253
형법범,강력범죄(폭력),폭력행위등(손괴강요주거침입등),-,-,-,-,-,-,-,-,591,395,375,475,500,542
형법범,강력범죄(폭력),폭력행위등(단체등의구성·활동),5,56,27,9,31,417,356,112,112,117,33,46,51,69
형법범,강력범죄(폭력),폭력행위등처벌에관한법률위반,13933,17344,24781,21377,15540,14129,19790,12530,-,-,-,-,-,-
형법범,위조범죄,소계,672,909,1833,1903,2110,1654,2712,2251,1857,1876,2112,1794,1511,1350
형법범,위조범죄,통화,15,27,53,31,25,34,28,26,14,28,35,20,25,21
형법범,위조범죄,유가증권·인지·우표,5,9,4,6,10,-,1,-,3,16,-,4,12,2
형법범,위조범죄,문서,649,871,1763,1856,2052,1604,2670,2213,1833,1821,2069,1756,1465,1310
형법범,위조범죄,인장,3,2,13,10,23,16,13,12,7,11,8,14,9,17
형법범,공무원범죄,소계,-,-,1,2,-,4,12,7,7,1,15,4,3,-
형법범,공무원범죄,직무유기,-,-,-,1,-,2,4,-,-,-,11,3,1,-
형법범,공무원범죄,직권남용,-,-,1,-,-,2,8,7,7,1,4,1,2,-
형법범,공무원범죄,수뢰,-,-,-,1,-,-,-,-,-,-,-,-,-,-
형법범,공무원범죄,증뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,풍속범죄,소계,250,34,95,122,59,49,85,48,74,104,245,162,223,192
형법범,풍속범죄,간통,16,9,9,4,3,2,4,4,-,-,-,-,-,-
형법범,풍속범죄,혼인빙자간음,3,2,-,2,-,-,-,-,-,-,-,-,-,-
형법범,풍속범죄,도박과복표,225,19,73,100,43,26,59,12,30,58,177,86,130,74
형법범,풍속범죄,신앙,1,-,1,-,2,3,-,2,1,-,2,-,1,-
형법범,풍속범죄,기타음란행위,5,4,12,16,11,18,22,30,43,46,66,76,92,118
형법범,과실범죄,소계,83,109,162,174,146,158,142,126,145,111,147,152,157,131
형법범,과실범죄,과실치사상,36,43,61,77,68,70,47,41,66,54,70,70,69,58
형법범,과실범죄,업무상과실치사상,10,6,9,10,4,1,8,13,9,5,7,9,7,4
형법범,과실범죄,실화,37,60,92,87,74,87,87,72,70,52,70,73,81,69
형법범,기타형법범죄,소계,374,512,904,733,870,875,1659,1702,2281,2616,2736,2581,2563,2728
형법범,기타형법범죄,명예,52,81,169,164,276,252,655,737,1352,1669,1629,1517,1407,1393
형법범,기타형법범죄,권리행사방해,7,7,21,17,33,20,96,82,47,50,70,109,117,147
형법범,기타형법범죄,신용업무경매,25,49,107,76,64,92,144,129,123,138,122,137,181,214
형법범,기타형법범죄,주거침입,64,94,180,154,198,248,300,297,296,307,416,435,506,682
형법범,기타형법범죄,비밀침해,2,-,-,-,-,-,-,-,-,1,-,1,-,-
형법범,기타형법범죄,유기,5,6,8,7,4,2,9,7,5,7,4,9,4,1
형법범,기타형법범죄,낙태,2,-,-,1,1,-,1,1,-,-,-,-,-,-
형법범,기타형법범죄,아편,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범죄,교통방해,11,1,31,13,15,8,5,7,8,8,11,-,5,-
형법범,기타형법범죄,공무방해,166,228,276,186,187,200,369,361,329,352,377,259,222,191
형법범,기타형법범죄,도주와범인은닉,18,25,75,68,62,25,26,32,25,36,37,32,26,27
형법범,기타형법범죄,위증과증거인멸,3,6,12,18,1,10,5,10,37,12,15,19,14,12
형법범,기타형법범죄,무고,19,13,21,25,25,16,47,35,52,33,54,54,72,59
형법범,기타형법범죄,공안을해하는죄,-,2,-,4,-,-,-,1,-,-,1,7,3,2
형법범,기타형법범죄,내란의죄,-,-,-,-,-,-,-,-,-,-,-,-,3,-
형법범,기타형법범죄,음용수에관한죄,-,-,-,-,2,-,-,-,-,-,-,-,-,-
형법범,기타형법범죄,일수와수리에관한죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범죄,기타,-,-,4,-,2,2,2,3,7,3,-,2,3,-
특별법범,소계,소계,18365,27678,55226,31644,19731,16828,19711,17124,14449,14073,14838,14504,11937,11750
특별법범,가정폭력범죄의처벌등에관한특례법,소계,-,-,1,-,-,3,1,1,-,1,-,-,1,-
특별법범,가축분뇨의관리및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,감염병의예방및관리에관한법률,소계,-,-,-,-,-,-,-,-,1,3,3,1,1,2
특별법범,개발제한구역의지정및관리에관한특별조치법,소계,2,2,2,2,-,3,-,-,-,-,-,1,-,-
특별법범,개인정보보호법,소계,-,-,-,-,-,-,-,-,7,3,3,10,2,4
특별법범,개항질서법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,건강기능식품에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,1,-
특별법범,건설기계관리법,소계,-,-,1,-,-,-,-,-,1,1,1,1,-,-
특별법범,건설산업기본법,소계,-,-,-,1,1,-,3,6,1,-,-,-,-,-
특별법범,건축법,소계,-,-,2,4,-,3,-,1,-,1,1,-,-,-
특별법범,게임산업진흥에관한법률,소계,-,-,-,-,-,-,-,-,132,119,144,92,89,83
특별법범,결혼중개업의관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,경범죄처벌법,소계,-,-,-,-,-,-,-,-,59,57,67,67,69,85
특별법범,고용보험법,소계,-,-,3,1,-,-,-,-,-,-,-,-,-,-
특별법범,골재채취법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공업배치및공장설립에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공유수면관리및매립에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공유수면관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공유재산및물품관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공인중개사법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공중위생관리법,소계,3,1,2,4,1,5,8,3,3,2,2,7,3,-
특별법범,공직선거및선거부정방지법,소계,-,-,-,-,-,-,-,-,7,1,1,-,-,-
특별법범,공직선거법,소계,10,11,28,-,1,-,19,3,-,-,-,10,12,-
특별법범,관세법,소계,-,-,-,-,1,3,-,1,-,-,-,-,3,-
특별법범,교통사고처리특례법,소계,3997,4430,5138,3892,3536,3533,3930,3434,3543,3219,3256,2988,2577,2270
특별법범,국가기술자격법,소계,2,3,20,-,-,-,-,-,3,-,-,-,-,-
특별법범,국가보안법,소계,-,-,-,-,-,-,1,1,-,1,-,-,-,-
특별법범,국민연금법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민체육진흥법,소계,-,-,-,-,-,-,-,-,18,23,25,6,7,17
특별법범,국토의계획및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,소계,7,14,4,21,13,49,49,45,-,-,2,3,1,-
특별법범,근로자퇴직급여보장법,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,낚시관리및육성법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,낚시어선업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,내수면어업법,소계,-,2,-,-,1,-,-,-,-,-,-,-,-,-
특별법범,노동조합및노동관계조정법,소계,-,-,-,1,1,-,-,1,-,-,-,-,-,-
특별법범,농산물품질관리법,소계,2,-,1,1,1,1,-,-,-,-,-,-,-,-
특별법범,농수산물유통및가격안정에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농수산물의원산지표시에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,농업협동조합법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지법,소계,-,-,1,-,-,-,2,-,-,-,-,-,-,-
특별법범,담배사업법,소계,1,-,-,2,3,-,5,1,-,-,-,-,-,-
특별법범,대기환경보전법,소계,1,-,-,-,1,-,1,-,-,-,-,2,-,-
특별법범,대부업등의등록및금융이용자보호에관한법률,소계,-,-,-,-,-,2,3,1,-,2,1,7,14,23
특별법범,대외무역법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,도로교통법,소계,948,1157,1428,1113,1018,1315,1905,1331,678,693,895,769,650,628
특별법범,도로교통법(무면허운전),소계,8965,14418,18468,11865,8281,5928,5321,4105,3559,3282,3806,4364,3234,3360
특별법범,도로교통법(사고후미조치),소계,-,-,-,-,-,-,-,-,531,441,435,309,197,174
특별법범,도로교통법(음주운전),소계,1251,1480,2133,885,698,427,628,721,686,721,710,671,547,499
특별법범,도로교통법(음주측정거부),소계,1,2,8,4,5,2,2,-,2,5,4,6,6,2
특별법범,도로법,소계,3,4,49,97,45,2,1,-,1,1,1,4,-,-
특별법범,도시계획법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,도시공원법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,도시및주거환경정비법,소계,-,-,-,-,-,-,-,-,-,1,-,-,-,-
특별법범,독점규제및공정거래에관한법률,소계,-,-,-,-,-,1,-,-,-,-,-,-,1,-
특별법범,디자인보호법,소계,-,-,1,1,-,-,-,-,-,-,-,-,-,-
특별법범,마약류관리에관한법률(대마),소계,7,1,6,12,11,1,2,8,24,18,7,16,17,28
특별법범,마약류관리에관한법률(마약),소계,-,-,2,1,-,-,-,-,-,-,-,2,2,1
특별법범,마약류관리에관한법률(향정),소계,13,6,15,15,7,8,8,18,25,38,37,25,39,56
특별법범,마약류불법거래방지에관한특례법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,물환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,민사소송법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,밀항단속법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,방문판매등에관한법률,소계,-,-,1,3,-,-,-,-,-,-,-,-,-,-
특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,4,2,4,-,-,1,-,-,-,-,-,-,-,-
특별법범,범죄수익은닉의규제및처벌등에관한법률,소계,-,-,-,-,-,-,2,1,-,-,6,-,1,-
특별법범,변호사법,소계,-,-,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,병역법,소계,399,239,213,2,3,-,-,1,-,1,3,-,-,-
특별법범,보건범죄단속에관한특별조치법,소계,-,-,-,-,-,-,3,1,-,-,-,-,-,-
특별법범,보조금관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,부동산등기특별조치법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,부동산실권리자명의등기에관한법률,소계,-,-,3,-,1,-,-,1,-,-,-,-,-,-
특별법범,부동산중개업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,부정경쟁방지및영업비밀보호에관한법률,소계,2,1,-,2,1,-,1,-,-,-,1,-,-,1
특별법범,부정수표단속법,소계,6,5,7,20,11,3,1,3,6,7,7,-,7,3
특별법범,사행행위등규제및처벌특례법,소계,18,46,211,30,9,4,4,8,9,2,3,1,-,-
특별법범,산림법,소계,-,2,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,산림자원의조성및관리에관한법률,소계,-,-,-,5,3,2,-,1,1,-,-,-,-,-
특별법범,산업안전보건법,소계,-,-,2,1,1,2,9,9,-,-,1,-,-,-
특별법범,산업재해보상보험법,소계,-,-,-,-,-,-,-,1,-,-,-,-,-,-
특별법범,산지관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,상법,소계,-,-,-,-,-,-,1,-,-,-,-,-,-,-
특별법범,상표법,소계,9,19,35,9,4,1,2,6,7,5,6,5,7,7
특별법범,석유및석유대체연료사업법,소계,-,-,-,-,-,-,-,-,2,-,-,-,-,-
특별법범,석유사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,선박안전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,선박직원법,소계,-,-,-,-,-,1,-,-,-,-,-,-,-,-
특별법범,선원법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,성매매법,소계,223,286,814,586,236,160,136,97,-,-,-,-,-,-
특별법범,성매매알선등행위의처벌에관한법률,소계,-,-,-,-,-,-,-,-,137,180,345,261,170,106
특별법범,소방기본법,소계,-,-,-,-,-,-,-,2,-,-,-,-,-,-
특별법범,소음·진동관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소음·진동규제법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,수도법,소계,-,1,-,-,-,-,-,2,-,-,-,1,-,-
특별법범,수산업법,소계,-,-,1,1,-,-,-,-,-,-,-,-,-,-
특별법범,수산자원관리법,소계,-,-,-,-,-,-,3,1,-,-,-,-,-,-
특별법범,수산자원보호령,소계,-,-,1,1,-,-,-,-,-,-,-,-,-,-
특별법범,수상레저안전법,소계,-,-,-,-,-,1,-,-,-,-,-,-,-,-
특별법범,수질환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,식품위생법,소계,13,5,33,60,49,20,30,15,11,15,14,12,3,9
특별법범,신용정보의이용및보호에관한법률,소계,-,-,1,1,1,-,-,4,-,-,-,-,-,-
특별법범,실용신안법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,아동·청소년의성보호에관한법률,소계,-,-,-,-,-,-,1330,1463,-,-,-,-,-,-
특별법범,아동·청소년의성보호에관한법률(성매수등),소계,-,-,-,-,-,-,-,-,181,179,205,262,223,174
특별법범,아동·청소년의성보호에관한법률(음란물등),소계,-,-,-,-,-,-,-,-,82,81,173,108,126,135
특별법범,아동복지법,소계,-,-,-,-,-,-,-,-,8,22,43,50,70,101
특별법범,액화석유가스의안전관리및사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,약사법,소계,1,-,1,1,2,-,1,4,2,1,2,1,1,1
특별법범,여객자동차운수사업법,소계,-,-,3,-,-,1,1,4,1,-,3,2,2,5
특별법범,여권법,소계,-,6,-,6,-,-,-,-,-,-,-,-,-,-
특별법범,여신전문금융업법,소계,37,66,322,354,130,169,227,222,188,145,110,99,87,102
특별법범,영유아보육법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,오수·분뇨및축산폐수의처리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,예비군법,소계,-,1,8,12,1,-,-,-,-,-,-,-,-,-
특별법범,옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,-,1,2,2,5,-,-,-,-,1,-,-,-,-
특별법범,외국환거래법,소계,-,1,1,9,-,3,1,4,3,-,-,-,1,-
특별법범,위험물안전관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,유사수신행위의규제에관한법률,소계,-,-,2,1,1,-,-,-,-,-,-,-,-,-
특별법범,유선및도선사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,유해화학물질관리법,소계,129,188,435,505,847,1114,1014,460,-,-,-,-,-,-
특별법범,윤락행위등방지법,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,음반·비디오물및게임물에관한법률,소계,87,6,2,1,1,2,-,-,-,-,-,-,-,-
특별법범,의료기기법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,의료법,소계,18,6,14,11,5,3,2,6,5,8,8,14,7,12
특별법범,자동차관리법,소계,111,234,427,350,218,236,277,270,157,172,225,262,228,371
특별법범,자동차손해배상보장법,소계,31,54,66,108,318,408,357,393,367,393,535,568,340,277
특별법범,자본시장과금융투자업에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,자연공원법,소계,-,-,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,저작권법,소계,514,2338,20272,7720,275,318,759,446,249,260,146,128,37,43
특별법범,전기사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,전기통신기본법,소계,-,-,1,2,12,1,-,2,-,-,-,-,-,-
특별법범,전기통신사업법,소계,-,-,-,1,2,-,1,-,-,-,-,-,-,-
특별법범,전염병예방법,소계,-,1,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,전자금융거래법,소계,-,-,-,-,-,-,-,-,418,1093,453,274,247,311
특별법범,전투경찰대설치법,소계,3,2,5,-,-,-,-,-,-,-,-,-,-,-
특별법범,전파법,소계,3,-,1,-,-,-,1,2,-,1,1,-,2,6
특별법범,정보통신망이용촉진및정보보호등에관한법률,소계,620,988,1770,1379,2054,841,865,725,610,541,669,681,664,634
특별법범,정치자금법,소계,-,-,-,-,2,-,-,-,-,-,-,-,-,-
특별법범,조세범처벌법,소계,-,-,4,2,2,-,2,4,1,6,2,3,-,1
특별법범,조수보호및수렵에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,주민등록법,소계,56,138,322,449,552,581,936,1109,1014,870,915,843,958,1021
특별법범,주차장법,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,주택건설촉진법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,주택법,소계,-,-,-,-,-,-,-,-,-,-,-,2,-,-
특별법범,증권거래법,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,지방세법,소계,-,-,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,지하수법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,직업안정법,소계,-,5,6,3,2,4,3,4,2,10,6,2,5,1
특별법범,집회및시위에관한법률,소계,47,22,65,26,2,6,1,11,21,20,6,-,2,4
특별법범,철도법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,청소년보호법,소계,123,209,285,211,131,561,923,1035,1015,760,820,854,745,673
특별법범,청소년의성보호에관한법률,소계,198,203,173,168,55,23,-,-,-,-,-,-,-,-
특별법범,체육시설의설치·이용에관한법률,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,총포·도검·화약류등의안전관리에관한법률,소계,-,7,4,58,19,4,6,6,64,7,3,-,11,7
특별법범,최저임금법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,축산물가공처리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,1,-,-,-,-
특별법범,출입국관리법,소계,1,17,24,4,3,2,1,3,2,10,2,9,6,8
특별법범,컴퓨터프로그램보호법,소계,80,89,200,157,-,-,-,-,-,-,-,-,-,-
특별법범,통신비밀보호법,소계,-,-,-,-,-,-,-,2,1,-,1,-,1,-
특별법범,특가법(도주차량),소계,356,406,491,383,309,331,317,254,217,206,153,132,65,7
특별법범,특허법,소계,-,-,-,1,-,-,-,-,1,-,-,-,-,-
특별법범,폐기물관리법,소계,-,-,1,-,1,-,1,2,-,-,-,-,-,-
특별법범,풍속영업의규제에관한법률,소계,4,1,-,1,-,-,4,4,-,1,-,1,2,-
특별법범,하천법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,학교보건법,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,항만법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,항만운송사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,해양오염방지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화물자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,1
특별법범,화재로인한재해보상과보험가입에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화재보험법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화재예방·소방시설설치유지및안전관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화학물질관리법,소계,-,-,-,-,-,-,-,-,168,212,282,201,90,76
특별법범,기타특별법,소계,57,552,1671,1074,838,739,600,855,218,230,288,362,356,421