2019년,이욕 생활비마련,이욕 유흥비마련,이욕 도박비마련,이욕 허영사치심,이욕 치부,이욕 기타,사행심,보복 신고고소,보복 수사협조,보복 증언,보복 기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
 절도 ,1094,1664,3,160,91,2899,471, - , - , - ,3,3,5453,901,9090,77,191,4453,1092
 장물 ,23,59, - ,1,1,87,12, - , - , - , - , - ,69,15,156, - ,31,159,46
 사기 ,419,383,7,27,29,396,97, - , - , - ,1,1,142,46,261,4,77,926,635
 횡령 ,34,32, - ,6,7,147,8, - , - , - , - , - ,144,34,316,5,37,262,99
 배임 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,3, - , - ,3,2
 손괴 , - ,2, - , - , - ,51,4,1, - , - , - ,2,22,2,637,28,36,111,54
 살인 , - , - , - , - , - ,1, - , - , - , - , - ,1,2, - ,9,1,1,4,1
 강도 ,47,116, - ,3,1,48,5, - , - , - , - ,1,12,7,118,8,1,84,27
 방화 , - , - , - , - , - ,5, - , - , - , - , - ,2,39, - ,54,8,2,23,7
 강간 ,3,3, - ,1,5,179,3, - , - , - , - ,1,535,106,774,9,17,371,602
 폭행 ,7,15, - , - , - ,196,2, - , - , - , - ,10,8,1,2116,51,63,451,3214
 상해 ,2,4,1, - ,1,312,2, - , - , - , - ,12,14,2,3560,81,50,831,198
 협박 , - , - , - , - , - ,3,2, - , - , - , - , - ,5, - ,31,2, - ,12,23
 공갈 ,55,133, - ,8,8,149,28, - , - , - , - , - ,41,13,274,15,13,259,52
 약취와유인 ,1, - , - , - , - ,1, - , - , - , - , - , - ,3,2,4, - , - ,3,3
 체포와감금 , - ,2, - , - , - , - , - , - , - , - , - , - , - , - ,9, - , - ,13,5
 폭력행위등(단체등의구성.활동) , - , - , - , - , - ,9, - , - , - , - , - , - , - , - ,10, - ,1, - ,2
 폭력행위등처벌에관한법률위반 ,192,579,1,36,12,1177,76, - ,1, - ,1,5,276,47,9697,230,178,3020,1419
 통화 ,1, - , - , - , - ,2,1, - , - , - , - , - ,8, - ,2, - ,1,5, - 
 유가증권.인지.우표 , - , - , - , - , - , - , - , - , - , - , - , - ,1, - , - , - , - , - , - 
 문서 ,26,7, - ,10, - ,255,12, - , - , - , - , - ,431,68,185,1,110,592,141
 인장 , - ,1, - ,1, - ,1,1, - , - , - , - , - ,2, - ,1, - ,2,5, - 
 직무유기 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 직권남용 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 수뢰 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 증뢰 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2, - 
 간통 , - , - , - , - , - ,2, - , - , - , - ,1, - , - ,2,1, - , - ,6,15
 혼인빙자간음 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1
 기타음란행위 , - , - , - , - , - ,8, - , - , - , - , - , - ,1, - ,12, - , - ,9,2
 도박과복표 ,3, - ,9,4,2,25,104, - , - , - , - ,1,55,7,12, - ,5,68,14
 신앙 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - , - ,2,1
 과실치사상 , - , - , - , - , - ,7, - , - , - , - , - , - ,1,1,10, - ,53,13,32
 업무상과실치사상 , - , - , - , - , - ,3, - , - , - , - , - , - , - , - ,4, - ,3,1, - 
 실화 , - ,1, - , - , - ,4, - , - , - , - , - , - ,2, - ,16, - ,45,3,6
 명예 , - , - , - , - , - ,78, - , - , - , - , - ,1,14,1,118,8,11,110,180
 권리행사방해 , - , - , - , - , - ,2, - , - , - , - , - , - ,3, - ,10, - ,6,15,9
 신용업무경매 ,1, - ,1, - , - ,18,1, - , - , - , - , - ,3, - ,65,6,4,24,37
 주거침입 ,5,6, - , - , - ,21, - , - , - , - , - , - ,36,4,87,1,10,44,20
 비밀침해 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - 
 유기 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,3, - , - ,1, - 
 낙태 , - , - , - , - , - ,1, - , - , - , - , - , - , - , - , - , - , - , - , - 
 아편 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 교통방해 , - , - , - , - , - ,8, - , - , - , - , - , - ,8, - ,3,2, - ,12,13
 공무방해 ,2, - , - , - , - ,17, - , - , - , - , - ,1,5,1,185,20,6,110,10
 도주와범인은닉 ,1, - , - , - , - ,9, - , - , - , - , - , - ,1,1,18, - ,16,29,8
 위증과증거인멸 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,1,1,11
 무고 , - , - , - , - , - ,3, - , - , - , - , - , - , - , - ,2, - , - ,7,23
 공안을해하는죄 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - 
 내란의죄 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 음용수에관한죄 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1
 일수와수리에관한죄 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 기타 , - , - , - , - , - , - , - , - , - , - , - , - ,1, - , - ,1, - , - , - 
 개발제한구역의지정및관리에관한특별조치법 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1
 개항질서법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1
 건설기계관리법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 건축법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1,9
 공직선거법위반 , - , - , - , - , - ,14, - , - , - , - , - , - ,1, - ,1,2,4,12,2
 관세법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 교통사고처리특례법위반 ,5,3, - ,1,1,369,4, - , - , - , - , - ,48,3,288,2,2786,769,2531
 국가보안법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,4, - 
 근로기준법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 노동조합및노동관계조정법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 농지법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1
 대기환경보전법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 대부업등의등록및금융이용자보호에관한법률 , - , - , - , - , - ,2, - , - , - , - , - , - , - ,1, - , - , - , - ,1
 도로교통법위반 , - , - , - , - , - ,135,1, - , - , - ,3, - ,103,7,101,6,458,230,259
 도로교통법위반(무면허운전) ,27,8, - ,8, - ,975,29, - , - , - ,3, - ,1073,83,1157,6,2128,1899,129
 도로교통법위반(음주운전) ,5,2,1,2,3,884,8, - , - , - ,1,1,34,39,1152,4,2369,1871,63
 도로법위반 , - ,1, - , - , - ,2,1, - , - , - , - , - , - , - ,1, - ,2,3,7
 도시계획법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 마약류관리에관한법률위반 ,2,1, - , - , - ,16, - , - , - , - , - , - ,20,6,8, - ,6,15,7
 민사소송법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 변호사법위반 ,1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 병역법위반 ,6, - , - , - , - ,137, - , - , - , - , - , - , - , - ,4,2,87,211,21
 부정경쟁방지및영업비밀보호에관한법률위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - , - , - , - 
 부정수표단속법위반 , - ,2, - , - , - ,1, - , - , - , - , - , - , - , - , - , - ,1, - ,2
 산림자원의조성및관리에관한법률위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,3, - 
 산업안전보건법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 상표법위반 ,4, - , - , - , - ,1, - , - , - , - , - , - ,2, - , - ,3,2,5,3
 성매매위반 ,63,10, - , - ,1,33,6, - , - , - , - , - ,90,57,33,1,8,123,42
 소방기본법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 수산업법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 수질환경보전법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 식품위생법위반 ,20,3, - , - , - ,12, - , - , - , - , - , - ,1,1,6, - ,3,32,12
 약사법위반 ,3,1, - , - , - ,2, - , - , - , - , - , - , - , - , - , - , - ,2, - 
 여신전문금융업법위반 ,8,13, - ,1, - ,18,8, - , - , - , - , - ,14,4,28, - ,5,25,13
 오수.분뇨및축산폐수의처리에관한법률위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 옥외광고물등관리법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2, - ,2
 외국환거래법위반 ,19, - , - , - , - ,1, - , - , - , - , - , - , - , - , - , - ,3,2, - 
 유해화학물질관리법위반 , - ,2, - , - , - ,36,3, - , - , - , - ,1,355,52,55,7,3,72,15
 윤락행위등방지법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 음반.비디오물및게임물에관한법률위반 ,1, - , - , - , - ,1, - , - , - , - , - , - , - , - , - , - , - ,2, - 
 의료법위반 ,2, - , - , - , - , - , - , - , - , - , - , - ,2, - ,1, - , - ,1, - 
 자동차관리법위반 , - , - , - , - , - ,97,2, - , - , - , - , - ,37,2,14, - ,121,245,52
 자동차손해배상보장법위반 ,2, - , - , - , - ,34, - , - , - , - , - , - ,4, - ,16, - ,116,73,75
 저작권법위반 ,10,1, - , - ,1,210,8, - , - , - , - , - ,203,4,75,1,344,555,405
 정보통신망이용촉진등에관한법률위반 ,18,10,1,3,1,475,101, - , - , - ,1,1,1123,98,248,18,398,1844,193
 조세범처벌법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - ,1,2,5
 조수보호및수렵에관한법률위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 주민등록법위반 ,3,2, - , - , - ,74,5, - , - , - , - , - ,106,16,77,1,60,144,9
 주차장법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 지방세법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 직업안정법위반 ,3, - , - , - , - ,3, - , - , - , - , - , - , - , - , - , - , - ,1,1
 집회및시위에관한법률위반 , - , - , - , - , - ,8, - , - , - , - , - , - , - , - ,1,26, - ,61,8
 청소년보호법위반 ,30,3, - , - , - ,42,1, - , - , - , - , - ,1,1,5, - ,125,107,39
 청소년의성보호에관한법률위반 ,8,4, - , - , - ,1, - , - , - , - , - , - ,14,8,7, - ,1,12,9
 총포.도검.화약류등단속법위반 , - , - , - , - , - ,6, - , - , - , - , - , - ,18, - , - , - ,3,6,4
 축산물가공처리법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 컴퓨터프로그램보호법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,1, - 
 특가법(도주차량) , - ,1, - , - , - ,43, - , - , - , - , - , - ,10, - ,60, - ,232,97,27
 폐기물관리법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 풍속영업의규제에관한법률위반 ,1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 해양오염방지법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 향토예비군설치법위반 , - , - , - , - , - ,25, - , - , - , - , - , - , - , - ,2, - ,28,55,6
 기타특별법 ,195,23,1,1,5,210,32,3, - ,1,4,1,60,43,149,4,333,534,269
